time;queries_in_system;time_in_queues;rejected_connections;parallel_query;load_ratio;TZ00:00
2025-05-22T11:39:41Z00:00;93;2;0;93;1.45;
2025-05-22T11:40:11Z00:00;70;4;0;70;1.09;
2025-05-22T11:40:41Z00:00;97;6;0;97;1.52;
2025-05-22T11:41:11Z00:00;59;3;0;59;0.92;
2025-05-22T11:41:41Z00:00;51;5;0;51;0.80;
2025-05-22T11:42:11Z00:00;53;2;0;53;0.83;
2025-05-22T11:42:41Z00:00;57;3;0;57;0.89;
2025-05-22T11:43:11Z00:00;52;2;0;52;0.81;
2025-05-22T11:43:41Z00:00;90;0;0;90;1.41;
2025-05-22T11:44:11Z00:00;45;3;0;45;0.70;
2025-05-22T11:44:41Z00:00;37;0;0;37;0.58;
2025-05-22T11:45:11Z00:00;33;0;0;33;0.52;
2025-05-22T11:45:41Z00:00;29;0;0;29;0.45;
2025-05-22T11:46:11Z00:00;51;1;0;51;0.80;
2025-05-22T11:46:41Z00:00;22;0;0;22;0.34;
2025-05-22T11:47:11Z00:00;29;0;0;29;0.45;
2025-05-22T11:47:41Z00:00;25;2;0;25;0.39;
2025-05-22T11:48:11Z00:00;53;18;0;53;0.83;
2025-05-22T11:48:41Z00:00;61;15;0;61;0.95;
2025-05-22T11:49:11Z00:00;24;0;0;24;0.38;
2025-05-22T11:49:41Z00:00;18;0;0;18;0.28;
2025-05-22T11:50:11Z00:00;26;8;0;26;0.41;
2025-05-22T11:50:41Z00:00;30;1;0;30;0.47;
2025-05-22T11:51:11Z00:00;25;1;0;25;0.39;
2025-05-22T11:51:41Z00:00;44;30;0;44;0.69;
2025-05-22T11:52:11Z00:00;22;7;0;22;0.34;
2025-05-22T11:52:41Z00:00;28;0;0;28;0.44;
2025-05-22T11:53:11Z00:00;45;14;0;45;0.70;
2025-05-22T11:53:41Z00:00;28;1;0;28;0.44;
2025-05-22T11:54:11Z00:00;13;0;0;13;0.20;
